평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
7.9,0.0,0.5,80.6,8.5,1006.3,9.46,0.0,2.5,1.2,1
13.1,0.0,2.6,89.8,13.4,1014.8,5.23,0.0,7.0,0.9,1
4.4,0.0,0.4,71.8,5.7,1013.8,11.18,0.0,3.9,1.3,1
2.6,0.0,1.4,53.8,3.8,1015.8,10.94,0.0,0.0,1.4,1
6.3,0.0,1.8,34.9,3.3,1013.9,9.71,0.0,4.5,2.1,1
6.3,0.0,1.8,34.9,3.3,1013.9,9.71,0.0,4.5,2.1,1
6.1,0.0,3.4,26.4,2.5,1015.7,13.98,0.0,0.4,3.7,1
2.5,0.0,1.8,72.8,5.2,1025.8,13.9,0.0,0.5,1.7,1
21.4,8.5,3.7,56.5,13.4,1010.5,10.2,0.0,7.9,2.4,1
14.0,0.0,1.1,74.1,11.2,1018.5,14.57,0.0,1.3,2.5,1
13.5,0.0,1.7,72.5,10.9,1012.5,14.23,0.0,0.5,2.3,1
15.7,0.0,3.2,40.8,7.1,1017.0,15.19,0.0,2.8,4.5,1
11.6,2.5,3.4,49.9,6.7,1012.2,16.17,0.0,0.5,3.4,1
15.1,0.0,1.0,63.8,10.1,1013.5,17.07,0.0,1.6,3.1,1
14.9,0.0,4.3,40.8,6.9,1009.0,19.79,0.0,1.4,4.5,1
25.0,0.0,2.2,65.1,20.5,1002.5,20.2,0.0,5.3,4.2,1
24.7,6.4,1.9,64.5,19.8,994.1,5.89,0.0,8.8,1.7,1
26.9,0.0,2.2,57.8,19.8,997.7,25.82,0.0,3.9,5.5,1
20.9,0.5,1.2,52.6,12.5,1000.8,27.21,0.0,7.0,4.7,1
22.6,0.0,1.7,53.5,13.8,1002.8,27.3,0.0,4.9,5.3,1
26.6,0.0,3.0,42.6,14.0,1009.5,27.3,0.0,1.9,7.9,1
22.6,0.0,1.3,50.3,12.7,1000.6,26.81,0.0,0.9,5.9,1
17.4,0.0,3.2,63.0,12.7,1008.5,21.99,0.0,7.0,3.4,1
17.8,1.5,3.7,83.0,16.7,1007.7,12.06,0.0,9.9,2.0,1
15.3,0.0,1.9,53.3,8.1,1019.3,25.35,0.0,5.9,5.4,1
17.4,0.0,1.3,50.4,9.6,1008.9,22.54,0.0,4.3,4.2,2
10.0,0.0,1.4,64.6,7.4,1017.4,26.16,0.0,2.3,3.8,1
8.5,0.0,2.0,73.9,7.9,1004.0,22.23,0.0,5.3,3.3,1
15.3,0.0,1.3,50.2,8.6,1014.8,11.73,0.0,9.6,2.2,1
12.2,0.0,0.9,65.3,9.1,1020.7,8.35,0.0,9.0,1.4,1
14.2,0.0,0.8,39.5,5.9,1005.2,17.62,0.0,8.3,3.5,1
14.5,0.0,2.4,37.3,5.9,1015.3,24.36,0.0,3.1,5.2,1
12.3,0.0,1.8,62.3,8.1,998.9,15.42,0.0,5.8,3.1,1
12.0,0.0,1.4,78.1,10.6,998.1,19.36,0.0,6.1,3.1,1
14.7,0.0,1.8,31.5,5.4,1006.8,23.95,0.0,3.3,4.8,1
9.4,0.0,3.2,49.3,5.7,1009.7,24.58,0.0,0.0,4.2,1
19.6,4.6,7.4,43.6,10.1,1001.7,19.6,0.0,5.8,6.4,2
13.5,0.0,2.4,25.1,3.8,1008.0,26.38,0.0,0.0,5.7,1
17.9,0.0,2.1,25.9,4.8,1012.7,24.87,0.0,4.0,6.7,2
18.8,0.0,2.4,29.6,6.0,1008.4,24.08,0.0,0.4,6.5,2
13.7,0.0,4.6,71.4,11.2,1021.0,20.0,0.0,2.8,3.4,1
15.6,0.0,2.0,36.6,5.5,1015.8,23.21,0.0,0.0,6.1,2
16.8,0.0,2.4,29.8,4.8,1015.7,23.08,0.0,0.6,6.8,2
16.8,0.0,2.4,29.8,4.8,1015.7,23.08,0.0,0.6,6.8,2
14.5,0.0,2.1,38.0,5.3,1011.5,24.12,0.0,0.6,6.8,2
15.5,0.0,1.7,42.4,6.4,1016.2,22.6,0.0,1.6,5.1,1
16.9,0.0,3.8,26.8,4.9,1011.3,23.72,0.0,0.0,7.3,1
